data;igp-m
1989.06;3,09E-05
1989.07;4,19E-05
1989.08;5,74E-05
1989.09;8,03E-05
1989.10;0,000113001
1989.11;0,000158746
1989.12;0,000233566
1990.01;0,000377116
1990.02;0,000683656
1990.03;0,001257552
1990.04;0,001614069
1990.05;0,001709725
1990.06;0,00187962
1990.07;0,002105394
1990.08;0,002392147
1990.09;0,0026984
1990.10;0,003048369
1990.11;0,003562291
1990.12;0,004203477
1991.01;0,004947516
1991.02;0,005987394
1991.03;0,006537412
1991.04;0,007047761
1991.05;0,007575021
1991.06;0,008217406
1991.07;0,009303743
1991.08;0,0107227
1991.09;0,0123231
1991.10;0,0151122
1991.11;0,0189843
1991.12;0,0234711
1992.01;0,0290001
1992.02;0,0370788
1992.03;0,0450114
1992.04;0,0539861
1992.05;0,0650128
1992.06;0,0803615
1992.07;0,0979085
1992.08;0,122022
1992.09;0,152858
1992.10;0,193765
1992.11;0,239162
1992.12;0,299133
1993.01;0,376399
1993.02;0,483339
1993.03;0,610231
1993.04;0,786181
1993.05;1,01968
1993.06;1,34083
1993.07;1,75986
1993.08;2,31924
1993.09;3,13751
1993.10;4,2368
1993.11;5,76854
1993.12;7,97925
1994.01;11,0968
1994.02;15,6219
1994.03;22,7628
1994.04;32,0749
1994.05;45,7316
1994.06;66,4082
1994.07;92,9684
1994.08;100
1994.09;101,751
1994.10;103,602
1994.11;106,553
1994.12;107,45
1995.01;108,442
1995.02;109,945
1995.03;111,178
1995.04;113,518
1995.05;114,171
1995.06;116,984
1995.07;119,114
1995.08;121,729
1995.09;120,869
1995.10;121,503
1995.11;122,955
1995.12;123,833
1996.01;125,977
1996.02;127,202
1996.03;127,715
1996.04;128,13
1996.05;130,121
1996.06;131,445
1996.07;133,213
1996.08;133,587
1996.09;133,722
1996.10;133,978
1996.11;134,242
1996.12;135,225
1997.01;137,613
1997.02;138,204
1997.03;139,795
1997.04;140,742
1997.05;141,04
1997.06;142,09
1997.07;142,221
1997.08;142,353
1997.09;143,042
1997.10;143,567
1997.11;144,481
1997.12;145,695
1998.01;147,091
1998.02;147,356
1998.03;147,635
1998.04;147,821
1998.05;148,021
1998.06;148,588
1998.07;148,339
1998.08;148,109
1998.09;147,984
1998.10;148,1
1998.11;147,628
1998.12;148,291
1999.01;149,533
1999.02;154,933
1999.03;159,325
1999.04;160,459
1999.05;159,996
1999.06;160,573
1999.07;163,06
1999.08;165,603
1999.09;167,997
1999.10;170,861
1999.11;174,939
1999.12;178,099
2000.01;180,301
2000.02;180,935
2000.03;181,214
2000.04;181,635
2000.05;182,189
2000.06;183,745
2000.07;186,634
2000.08;191,087
